id;name;eng_name;description
1;면;benchmark;Loan payment
2;transparent 동;Generic Customizable International;orchid
3;Handcrafted Metal Berkshire;backing drive Steel;Ball Metal Automotive
4;Martinique Quality e-markets;Central standardization;Towels Tuna architecture
5;Philippines;CSS;Computer Hat
6;Southern middleware;encompassing magnetic Grass-roots;Shoes Investment 읍
7;Car;Bacon architectures;invoice Borders composite
8;읍;maroon Bolivia;Fantastic AI
9;Azerbaijanian plug-and-play firewall;redundant;structure payment
10;eco-centric Borders;Pants;dynamic indexing RAM
