id;config_id;parent_id;code;code_type;value;description;use_yn
1;413;96647;Islands;ARRAY;Strategist;읍 state Regional;false
2;381;34526;Credit Leone;STRING;harness solution Berkshire;transitional Polarised;true
3;26767;88916;olive Secured;STRING;Portugal Electronics Agent;intuitive;false
4;26284;40742;Planner Steel;NUMBER;needs-based partnerships;clicks-and-mortar grey;false
5;72353;31195;Fresh Quality-focused;NUMBER;TCP Ukraine;parsing Exclusive Plastic;true
6;29084;35699;Helena Berkshire;NUMBER;policy;application;true
7;49281;18901;Home payment;STRING;Bedfordshire;TCP azure interfaces;false
8;78687;91775;Decentralized Ameliorated;NUMBER;Plastic invoice mobile;Account withdrawal navigating;true
9;14957;90801;Beauty Frozen;STRING;synergistic;invoice Awesome;false
10;7685;70396;multi-byte Peso;NUMBER;Kids Berkshire Industrial;Shoes;true
