id;jhi_key;name;discription;check_pattern;default_value;order_no;valid
1;ubiquitous;Awesome Cambridgeshire;Savings Africa;Beauty;parse Usability;7441;false
2;경기;Denmark interfaces magnetic;digital;Rupiah Fresh Technician;Devolved Internal salmon;2884;false
3;Licensed;San Escudo;Cotton grey;Cambridgeshire;Cotton engage scale;52234;true
4;인천 Administrator;Plastic;Bike;deposit;Mouse Shoes deposit;82869;true
5;동;compress;Metal;panel;Emirates 전남;947;false
6;Forward;Re-contextualized;Global;Sausages 동;Streamlined Grocery Yemen;61212;true
7;Account;mesh Senior;Coordinator;Gold Jewelery Borders;세종 teal cyan;91885;false
8;5th Mouse;Account Associate Rubber;Cotton Computers payment;virtual Bedfordshire;동;5601;true
9;Tuna Liaison XML;Officer Granite;읍 indexing;Beauty Fundamental Argentine;XML convergence;61996;true
10;HTTP quantifying;Computer;Card;Frozen Sharable Tools;읍;69843;false
