id;menu_depth;menu_name;menu_url;order_no;valid;menu_image_id
1;27412;Metal framework Frozen;Research feed Lead;80152;true;Integration violet open
2;58545;non-volatile;Nevis e-services payment;27965;true;empower matrix
3;29996;Ergonomic;Avon Berkshire;65892;true;standardization Principal Operations
4;41638;embrace PCI Soft;Account;20918;true;Toys parsing Consultant
5;77534;quantify Computers Consultant;XSS IB Investor;8493;true;Function-based Metal
6;31828;transform Cambridgeshire Response;Avon;34006;false;Clothing
7;87795;withdrawal;architect Bedfordshire Savings;94868;false;deposit technologies
8;22452;next-generation compress;Brand;5491;true;Avon grey
9;5026;울산;firewall Metrics;45457;true;efficient Electronics sky
10;30866;online;Account Industrial channels;54293;false;indexing Wooden Somalia
