id;office_name;alias;alias_prefix;alias_suffix;work_time_config_yn;work_start_time;work_end_time;no_show_yn;no_show_penalty_yn;no_show_timer_minutes;no_show_penalty_days;apply_reservation_alarm_yn;apply_reservation_alarm_template;pre_entrance_alarm_yn;pre_entrance_alarm_interval;pre_entrance_alarm_template;no_show_alarm_yn;no_show_alarm_template;exclusive;use_duty_type;use_user_search;kiosk_zoom_enable;reservation_limit_day;available_seat_type;auto_check_in_yn
1;olive capability maroon;silver Plastic;compelling Concrete teal;partnerships Borders;false;"205853";"22580646";false;false;52305;11764;false;Bacon Kwacha Borders;true;9914;읍;false;Investor 경남 turn-key;true;false;false;true;52181;면 compress;false
2;TCP compress 동;Borders Tugrik Mouse;indexing orange;Open-source circuit;false;"00501740385232";"202031472206";false;false;96109;82484;true;동;false;97467;Music;true;광주;true;true;false;false;54575;Internal 24/7 deliver;false
3;red;invoice Savings blue;Cambridgeshire Borders parsing;Auto 전남 value-added;true;"21462250";"041937";true;true;4390;36953;false;Jordanian Romania;true;27337;Clothing;false;primary;false;false;true;true;30885;unleash;true
4;Books Haiti;protocol Sports 경기;relationships up back;Credit Plastic;false;"06120911";"1339105152";true;true;96347;82181;true;navigating calculate payment;true;79707;orange compressing;false;Shirt;false;false;false;true;54843;deposit Advanced convergence;true
5;calculate;Pizza;harness;parsing Berkshire;true;"0910";"232410013542";false;true;41041;36893;true;Vatu Brand;true;24326;Franc 경기;true;cultivate;false;true;false;true;7846;Granite Direct;false
6;Supervisor Gorgeous 경남;attitude SMTP;payment AGP deposit;Factors integrated Ringgit;true;"1507031830";"21543605";false;false;82087;17037;true;Electronics invoice Product;false;12291;Factors Marshall;false;Boliviano Centralized Consultant;true;true;false;false;27070;Ergonomic programming Dalasi;false
7;application;Faroe alliance Director;Operative Versatile withdrawal;Automotive;false;"20385649";"22454702553118";true;false;32840;23907;true;turquoise Pizza Burkina;true;71325;virtual 동 면;false;USB;false;true;false;false;29229;port Computer;false
8;Movies integrated;Licensed deliverables;navigating 동 up;Forward generate;false;"055858330838";"082430";false;true;48115;89697;false;SCSI;true;3756;projection;false;COM;true;true;true;true;8618;전북;false
9;Chicken;Peru;Fantastic;경남 Taka;false;"230559";"21442610";false;false;40159;90387;false;Hat Mayotte;false;65658;solutions HDD;false;Versatile Account;false;false;false;true;8660;Outdoors;true
10;standardization Kids Dynamic;Home;IB;Pound Steel;true;"23053822";"080302491741";true;true;17853;16790;true;back-end blockchains;false;97831;Zealand convergence Soft;false;Ameliorated 경북;true;false;true;true;33739;Cheese;true
