id;org_cd;org_name;org_ename;use_yn;up_org_cd;org_tel;zip_cd;order_no;hierachy_code;hierachy_name;seat_limit;seat_limit_unit
1;Bike green;Balanced;경북;false;Health e-enable;Niue Refined;withdrawal;1781;Security overriding;portals;37258;PERCENT
2;Clothing matrix;Decentralized Developer strategic;magnetic;true;programming cyan Factors;GB Manager FTP;Facilitato;40995;Shoes;hack Towels;39596;PERCENT
3;bus compressing;connecting;upward-trending Handmade green;false;Interactions violet;web-readiness Pizza;제주;60642;compressing Diverse;reboot;95647;PERCENT
4;Implementation bypassing;Security alarm 면;Integration;true;grid-enabled override Intelligent;synthesize Cheese;JBOD e-bus;33659;읍 Program Designer;Frozen Kroon;4177;COUNT
5;Colombia;Lead Sausages withdrawal;울산 Fantastic;true;invoice Samoa;Savings hacking;TCP;63925;Cotton;Toys;47203;PERCENT
6;e-services Switzerland synthesizing;French revolutionary Buckinghamshire;methodologies Soft;false;foreground Planner Shoes;reboot calculate system-worthy;SDD;86581;port 면;auxiliary incentivize capacitor;12810;COUNT
7;Mauritania compress haptic;context-sensitive Metrics functionalities;platforms;false;Developer Executive Buckinghamshire;interactive;harness ta;12331;Garden;Developer ROI;71105;COUNT
8;Mobility;Chicken;Concrete;true;Chips;Unbranded;bricks-and;37232;Mayen hacking;Handmade;61761;PERCENT
9;Director;RSS;경북 Operations Gloves;true;Mauritania bandwidth;user-centric Practical Bedfordshire;viral 동 in;31978;program Soft;reintermediate matrix;97187;PERCENT
10;읍 Plastic 울산;Function-based Cambridgeshire regional;utilize;true;Cambridgeshire Engineer;magenta;Concrete M;79684;modular pixel;Salad Toys;28090;PERCENT
