id;rank_cd;rank_name;rank_ename;use_yn
1;facilitate;forecast yellow;value-added;false
2;synthesize Books;Web 대전;Facilitator;true
3;facilitate auxiliary;Multi-layered 24/7;Kwanza Ameliorated;false
4;부산 Consultant matrix;deposit Generic;Cotton Tasty SSL;true
5;PNG throughput functionalities;Berkshire up;synthesize neural Franc;true
6;optical;Mauritius generation;parsing ability Regional;false
7;강원;Berkshire;ADP Eritrea;true
8;1080p deposit Tactics;leading-edge;payment;false
9;Fresh Buckinghamshire 전남;Metal Fish monetize;Cambridgeshire Fantastic;false
10;flexibility wireless Licensed;Extended input;Bedfordshire;true
