id;office_id;floor_id;name;description;personnel;top;jhi_left;use_reservation_time;reservation_available_from_time;reservation_available_to_time;use_approval;use_user_available;use_check_in_out;check_in_out_from_time;check_in_out_to_time;valid
1;27942;6223;robust parsing Loan;Manager;1146;4051;64600;true;"22:49";"18:36";false;false;true;"18:53";"08:07";false
2;99215;22076;deposit 울산;Bosnia payment Dominican;996;6932;67778;false;"00:49";"02:14";true;true;false;"16:30";"20:18";false
3;8821;66625;제주 Aruba;reboot;820;95450;33600;false;"20:40";"03:52";false;false;true;"21:47";"21:23";false
4;26338;27138;definition payment;Liaison Chief Licensed;969;71632;86300;true;"10:22";"18:16";true;false;false;"08:32";"04:13";false
5;95801;76427;purple;Granite Islands Program;1088;35500;86227;true;"22:51";"10:57";false;false;true;"23:04";"06:12";false
6;28799;13856;PCI Metal calculating;red Beauty 경북;1326;68612;69329;true;"07:45";"07:07";true;false;false;"12:41";"20:55";false
7;84611;55271;leading-edge;Central;251;62973;1050;true;"21:36";"22:17";true;false;false;"09:40";"18:01";true
8;93679;69831;Pants;Loan Forward;405;9989;20045;false;"20:57";"14:06";false;true;false;"20:08";"20:59";false
9;64488;58680;면 transmitter Customer;Bolivia;1093;54795;78088;false;"22:28";"09:48";true;false;true;"15:19";"23:57";false
10;15359;63260;대전;RAM Fiji;349;36688;71877;false;"22:12";"23:24";true;false;false;"22:02";"23:42";false
