id;name;description;top;jhi_left;valid
1;Progressive e-services;backing;23327;27686;true
2;Moldova Credit;AI;97622;60523;true
3;quantifying attitude Architect;empower;85950;86704;false
4;Fuerte solutions function;envisioneer system Assurance;53663;88346;false
5;redundant up Frozen;product withdrawal;44397;24187;false
6;bluetooth 충북;충북 bluetooth;8516;93552;false
7;bluetooth 동;web Zimbabwe;12759;76852;true
8;Product National Mouse;Fantastic Plastic;2645;61673;true
9;payment Granite Salad;methodical;66839;38592;true
10;Tunisia Identity Borders;Kids Internal;67695;16331;false
