id;office_id;floor_id;seat_type;seat_name;seat_sub_type;use_yn;top;jhi_left
1;61797;9545;FULL;Naira initiative 면;STANDING;true;17340;72652
2;24558;88081;PERIOD;COM EXE;STANDING;true;7050;16464
3;57623;70316;PERIOD;경북 Frozen;NORMAL;false;47802;84928
4;34108;61113;PERIOD;Sleek Regional;STANDING;false;59225;556
5;38851;20563;PART;deposit driver;STANDING;false;37173;35227
6;98507;31935;PART;Operations;COLABORATION;false;83766;55587
7;84646;62014;PART;drive;STANDING;true;13514;19956
8;51137;57664;PERIOD;Gorgeous;STANDING;false;35478;45151
9;76007;4000;PART;Robust;NORMAL;false;17696;13774
10;56542;87737;PART;24/7 Books Account;COLABORATION;true;92412;56063
