id;name;asset_type;shape_image_type;width;height;text_align;shape_style;text_style;scalable;use_yn
1;Electronics;LOCKER;IMAGE;21300;66919;TOP;Expanded;invoice user-centric yellow;false;false
2;Coordinator Proactive;LOCKER;IMAGE;9040;10598;BOTTOM;attitude SMS;Sum Ergonomic Digitized;true;true
3;Integrated Clothing Buckinghamshire;ROOM;VECTOR;2948;95030;BOTTOM;online Small;Rustic microchip;false;false
4;application;ROOM;IMAGE;42102;41601;BOTTOM;Turkmenistan e-commerce Cambridgeshire;International;false;true
5;Rubber generate systemic;SEAT;IMAGE;5650;46951;MIDDLE;Polarised 대구 copying;Account uniform;true;false
6;compressing;LOCKER;VECTOR;34919;26658;BOTTOM;Account;Integrated Chair;false;false
7;synthesizing magenta;ROOM;IMAGE;55349;60868;TOP;Monaco hack;Home;true;true
8;면;LOCKER;VECTOR;31330;68271;MIDDLE;Ball 울산 interactive;analyzing;false;true
9;Metal 면 Personal;LOCKER;IMAGE;91999;68292;MIDDLE;deposit expedite;wireless;false;false
10;Chicken black (E.M.U.-6);LOCKER;IMAGE;70935;4908;TOP;hack Cross-platform Music;quantifying Security;true;true
